failure_scenario,variant,downstream_capability,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V2,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,C0,UAR,10,0.09868999999999999,0.09855,0.003634541083670523,0.0955,0.1018,0.0063,0.0943,0.1047,0.09643728809752432,0.10094271190247565
F3,V2,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,C1,UAR,10,0.0995,0.09945000000000001,0.0031664912232101127,0.0963,0.102,0.005699999999999997,0.0953,0.1045,0.0975373884065698,0.10146261159343022
F3,V2,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,C2,UAR,10,0.10064999999999999,0.10035,0.002795730872439461,0.0985,0.1026,0.0040999999999999925,0.0969,0.1056,0.09891718805277536,0.10238281194722462
F3,V2,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,C0,UAR,10,0.0993,0.10025,0.0030077677215281534,0.0973,0.1008,0.003500000000000003,0.0936,0.103,0.09743576625213825,0.10116423374786175
F3,V4,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
